gene_id,SRR9654972,SRR9654980,SRR9654983,SRR9654984,SRR9654985,SRR9654987,SRR9654988,SRR9654989,SRR9654990,SRR9654993,SRR9654994,SRR9654995,SRR9654996,SRR9654997,SRR9654998,SRR9655000,SRR9655004,SRR9655005,SRR9655008,SRR9655009,SRR9655010,SRR9655012,SRR9655013,SRR9655014,SRR9655015,SRR9655018,SRR9655019,SRR9655020,SRR9655021,SRR9655022,SRR9655023,SRR9655025,SRR9655029,SRR9655030
K08971,0,36,0,0,0,2,84,0,44,0,0,0,0,0,0,0,0,9,13,0,1,0,85,39,74,0,44,1,0,16,30,16,68,19
K08972,28,1745,371,171,317,69,529,188,2108,195,187,256,157,157,880,331,375,317,838,313,263,77,602,694,305,656,393,356,903,295,685,373,259,94
K08973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08974,156,590,92,439,513,249,647,264,1006,105,206,55,66,77,24,280,87,128,498,105,159,72,229,615,373,273,353,141,824,770,326,352,369,189
K08978,268,229,915,1719,696,420,928,1806,555,902,824,472,580,878,489,869,560,272,667,518,390,75,965,402,694,397,384,667,172,672,301,343,690,1133
K08979,0,38,0,0,0,1,85,0,63,0,0,0,0,0,0,0,0,6,18,0,3,0,94,43,95,0,47,1,0,26,50,19,79,21
K08981,100,25,34,38,91,24,39,162,92,41,44,63,96,62,39,128,67,34,120,48,10,39,671,40,95,132,35,22,38,69,42,88,125,197
K08982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08984,992,2,0,1,0,354,0,0,67,0,2,0,0,65,1,0,0,147,12,33,375,198,0,128,16,0,209,0,18,14,0,255,0,3
K08985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
K08986,275,599,494,1405,723,495,1243,1252,1201,662,859,341,936,603,1575,1129,689,38,816,1123,459,1755,234,263,549,928,458,746,1497,643,346,601,967,1331
K08987,6,0,10,38,0,49,0,156,38,2,0,0,48,96,16,17,0,5,9,674,191,1963,2,160,65,61,3,27,0,8,134,24,9,196
K08988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08989,777,1,0,1,140,334,0,0,26,0,0,0,0,95,0,0,0,1,7,20,302,153,0,101,5,0,105,0,13,4,0,0,1,0
K08990,1093,0,0,9,0,224,2,0,29,5,7,1,1,104,3,3,20,4,14,50,290,414,0,103,40,0,132,5,19,11,0,2,12,0
K08991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08992,464,2,0,0,0,253,0,57,21,6,83,0,1,53,0,20,1,35,29,28,326,263,0,138,127,2,113,0,12,6,0,1,1,0
K08993,679,2,0,3,0,330,2,0,25,0,2,0,0,68,0,0,15,1,7,26,265,366,0,111,40,2,159,2,11,9,1,0,0,0
K08994,552,0,0,1,0,175,0,0,13,0,0,1,0,47,0,0,0,0,0,7,189,251,0,74,4,0,141,0,10,3,0,0,0,0
K08995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08996,602,2,1,5,1,371,2,20,39,0,0,0,5,79,3,2,1,2,16,38,199,135,0,9,218,30,109,18,13,30,9,0,3,1
K08997,439,0,0,0,0,240,0,0,9,0,0,0,0,36,0,0,1,0,2,32,135,258,0,64,40,0,84,0,7,2,0,0,0,0
K08998,490,1650,745,949,1284,560,1240,1552,2811,650,1251,861,567,1042,2510,1620,861,700,1500,968,724,1689,649,675,715,1367,801,1425,1139,1153,1034,751,1009,1156
K08999,306,90,152,253,102,98,119,219,242,337,130,235,173,44,696,169,90,298,409,150,50,57,888,487,367,405,206,215,92,243,170,440,71,70
K09000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,22,0,1,0,0
K09001,1063,47,72,39,86,382,296,136,124,214,329,69,212,85,360,132,42,50,78,59,244,314,383,203,227,93,447,50,244,162,12,60,119,28
K09002,71,67,4,263,179,72,153,55,32,95,83,36,18,7,110,184,94,31,57,104,17,10,152,95,93,177,70,18,31,91,59,56,46,429
K09003,1,49,0,0,2,1,89,0,56,0,0,0,0,0,0,2,0,2,26,0,2,0,75,51,83,0,49,2,2,16,54,17,81,20
K09004,4,0,0,6,0,8,3,0,15,4,2,0,2,2,0,2,0,21,30,0,0,0,4,5,31,46,63,0,16,8,0,2,7,2
K09005,151,234,162,218,103,15,437,201,425,71,108,103,94,41,500,75,57,28,401,206,38,58,636,263,204,285,223,255,35,193,214,124,133,61
K09007,163,0,4,9,0,3,23,5,34,4,14,7,0,23,0,13,1,112,41,0,4,0,117,495,236,103,34,1,80,35,0,242,6,1
K09008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09009,2,680,250,3,63,4,5,73,1213,110,113,149,48,105,527,113,234,90,225,184,213,24,11,292,133,554,159,146,136,74,164,125,0,18
K09011,0,17,1,0,2,68,49,11,29,112,37,42,0,0,0,16,0,52,10,0,0,0,22,18,35,1,79,4,4,86,18,8,35,10
K09012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K09013,1182,1926,1061,823,1075,958,1273,1195,2318,1106,1106,950,348,904,2368,1498,836,837,1185,1226,892,1747,1242,1322,1175,1156,919,1246,1573,1102,1060,1157,614,748
K09014,548,716,598,209,787,616,454,838,1096,722,618,570,244,635,1454,679,434,558,646,911,579,1788,768,1079,376,802,453,705,493,563,840,569,273,257
K09015,439,686,383,23,56,359,51,188,153,331,274,337,54,255,892,218,198,596,275,704,327,2122,172,712,94,282,240,100,73,268,513,497,2,182
K09016,480,0,0,0,0,249,0,0,21,1,3,0,0,47,0,0,0,1,2,13,206,339,0,83,31,4,126,1,11,5,0,0,0,0
K09017,700,1,4,3,0,284,11,2,23,4,52,53,0,68,0,99,1,123,11,68,234,272,16,98,30,6,147,3,21,8,3,0,0,1
K09018,600,1,0,2,0,291,0,0,31,1,2,0,0,50,0,0,0,1,8,32,194,340,0,94,11,0,152,0,12,9,0,0,0,1
K09019,595,4,0,0,0,364,0,0,42,1,2,2,0,68,0,0,0,2,16,50,172,388,0,98,27,12,192,6,13,15,1,0,0,1
K09020,655,1,0,0,0,302,0,2,32,1,2,1,0,72,1,0,0,1,8,32,218,396,0,94,32,14,202,1,14,11,0,0,0,0
K09021,599,3,0,2,0,294,0,2,30,1,3,0,0,58,0,0,0,1,15,19,199,225,0,95,24,11,152,4,8,9,0,0,0,1
K09022,2504,2405,1527,1538,1097,1505,1260,1593,2083,1196,1514,1194,757,1529,3410,2098,1238,962,2014,1570,1406,2935,1273,1099,1058,1598,1472,1447,1429,1510,1985,913,1129,1250
K09023,702,3,0,2,0,320,0,0,36,3,3,0,0,70,0,0,0,2,17,58,224,438,0,112,50,13,197,3,20,16,0,0,0,0
K09024,782,4,0,2,0,326,0,0,45,0,7,2,0,76,3,0,0,3,13,67,217,216,0,125,28,11,218,2,18,22,0,0,0,0
K09043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09116,16,128,65,601,88,4,191,134,142,39,22,6,118,20,15,28,52,13,135,33,66,12,564,50,81,152,70,50,11,49,185,58,237,264
K09117,532,1511,928,1818,695,351,1382,1194,1486,909,783,776,899,668,1877,808,683,701,1003,486,354,262,364,830,685,850,504,646,925,549,878,603,688,1305
K09118,5,2251,664,3,305,73,353,87,2825,197,336,510,66,258,2077,399,579,495,656,277,359,139,15,526,173,892,256,383,828,201,846,406,4,54
K09119,1,31,0,0,0,1,85,0,52,0,0,0,0,0,0,0,0,2,21,0,0,0,97,41,73,0,48,4,0,29,35,26,70,19
K09121,635,535,268,827,439,244,512,1004,838,232,255,392,536,263,1643,340,246,432,1336,552,173,182,1080,730,1176,949,985,516,1232,461,464,1023,789,1274
K09123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09124,9,26,0,0,6,35,3,0,51,56,0,127,0,0,0,27,2,6,66,21,4,0,2,34,180,0,33,11,0,0,18,9,183,0
K09125,812,509,345,59,1098,644,1233,162,1276,388,254,419,95,540,365,293,81,210,624,218,350,501,342,474,393,358,676,536,697,624,396,178,397,168
K09126,1,39,7,0,4,1,95,4,119,15,4,1,0,3,25,27,0,6,57,3,15,0,91,43,108,53,53,4,13,34,69,21,91,25
K09127,3,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,10,0,0,20,2,4,17,0,1,0,0
K09128,1,61,2,0,12,8,107,0,57,0,8,2,0,3,1,14,0,28,54,1,5,0,75,51,308,6,93,3,22,18,51,17,71,50
K09129,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,19,7,0,0,0,0,6,117,0,31,0,0,0,0,1,0,0
K09131,393,23,10,16,18,56,80,22,95,18,59,11,8,42,4,7,15,243,44,8,66,195,178,613,328,153,115,3,101,88,42,556,73,27
K09132,26,3,14,44,50,16,12,109,16,111,48,165,7,10,0,75,177,122,2,4,8,1,69,4,27,194,40,9,2,59,2,2,87,22
K09133,6,0,0,33,7,1,9,22,6,4,12,0,17,7,3,0,0,26,0,0,0,0,0,0,0,15,1,1,0,3,1,0,0,0
K09136,195,185,0,892,0,344,107,4,61,0,0,0,0,45,1,4,6,9,14,6,108,1943,12,92,54,4,90,8,19,115,36,9,22,144
K09137,0,15,39,0,1,1,2,0,40,0,26,2,0,13,0,29,2,233,11,13,9,1,0,5,12,0,9,11,0,3,0,310,9,2
K09138,23,18,29,24,33,6,36,51,140,8,5,2,55,42,36,16,41,28,90,22,18,7,651,24,132,43,120,42,235,120,35,78,25,24
K09139,0,18,0,0,0,1,68,0,29,0,0,0,0,0,0,0,0,5,18,1,3,0,52,32,57,0,29,1,0,17,34,17,59,16
K09140,0,29,0,0,0,1,72,0,49,0,0,0,0,0,1,0,0,1,20,0,3,0,57,39,60,0,36,0,0,13,38,20,68,16
K09141,0,41,0,0,1,9,90,0,52,0,7,0,0,0,1,0,0,6,21,0,4,0,137,41,79,2,42,4,0,27,49,23,73,25
K09142,1,21,0,0,0,2,91,0,53,0,0,0,0,0,1,0,0,7,22,1,4,0,104,45,78,0,40,4,0,21,45,21,83,16
K09143,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09144,133,555,857,739,348,338,506,291,1056,330,718,646,308,222,587,442,511,231,417,350,76,250,297,346,283,1102,390,305,140,814,91,601,467,1650
K09145,6,325,1,5,4,11,156,0,499,11,11,1,21,0,6,3,3,0,5,0,19,0,2,210,7,31,0,26,535,20,0,114,62,0
K09147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09153,1,0,0,1,0,0,2,21,16,0,0,0,1,1,0,0,0,0,0,1,1,2,0,3,0,0,0,12,0,0,3,0,0,0
