ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 1XD42-69	1XD42-69 sp014287635
OTU2	Bacteria	 Firmicutes_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 28L	28L sp000177555
OTU3	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 43-108	43-108 sp001915545
OTU4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp001917175
OTU5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp900539605
OTU6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp900542055
OTU7	Bacteria	 Proteobacteria	 Alphaproteobacteria	 RF32	 CAG-239	 51-20	51-20 sp900762565
OTU8	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AF33-28	AF33-28 sp003477885
OTU9	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 AM07-15	AM07-15 sp003477405
OTU10	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AM51-8	AM51-8 sp003478275
OTU11	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AM51-8	AM51-8 sp900546435
OTU12	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 AM51-8	AM51-8 sp900761925
OTU13	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelotrichaceae	 Absicoccus	Absicoccus porci
OTU14	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelotrichaceae	 Absicoccus	Absicoccus sp000434355
OTU15	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp003447295
OTU16	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900066365
OTU17	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900066565
OTU18	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900554205
OTU19	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900755865
OTU20	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900760705
OTU21	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900766575
OTU22	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900771995
OTU23	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetatifactor	Acetatifactor sp900772845
OTU24	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Acetivibrio_A	Acetivibrio_A ethanolgignens
OTU25	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Achromobacter	Achromobacter xylosoxidans
OTU26	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus fermentans
OTU27	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus fermentans_A
OTU28	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus intestini
OTU29	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus massiliensis
OTU30	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus provencensis
OTU31	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus sp000437815
OTU32	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus sp900538365
OTU33	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus sp900554515
OTU34	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus sp900770265
OTU35	Bacteria	 Firmicutes_C	 Negativicutes	 Acidaminococcales	 Acidaminococcaceae	 Acidaminococcus	Acidaminococcus timonensis
OTU36	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Acidovorax	Acidovorax sp000302535
OTU37	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Acidovorax	Acidovorax temperans
OTU38	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter baumannii
OTU39	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter courvalinii
OTU40	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter johnsonii
OTU41	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter junii
OTU42	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter mesopotamicus
OTU43	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter nosocomialis
OTU44	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter pittii
OTU45	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter radioresistens
OTU46	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter sp900771065
OTU47	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter ursingii
OTU48	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	Acinetobacter variabilis
OTU49	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Actinobaculum	Actinobaculum massiliense
OTU50	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Actinomyces	Actinomyces graevenitzii
OTU51	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Actinomyces	Actinomyces oris
OTU52	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Actinomyces	Actinomyces sp000220835
OTU53	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Actinomyces	Actinomyces sp900323545
OTU54	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Actinomyces	Actinomyces urogenitalis
OTU55	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter sp000432995
OTU56	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter sp000435395
OTU57	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter sp900543305
OTU58	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter sp900543555
OTU59	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter sp900548545
OTU60	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter sp900755895
OTU61	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter sp900759575
OTU62	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Acutalibacter	Acutalibacter timonensis
OTU63	Bacteria	 Actinobacteriota	 Coriobacteriia	 Coriobacteriales	 Eggerthellaceae	 Adlercreutzia	Adlercreutzia celatus_A
OTU64	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Aeromonadaceae	 Aeromonas	Aeromonas caviae
OTU65	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Aeromonadaceae	 Aeromonas	Aeromonas dhakensis
OTU66	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Aeromonadaceae	 Aeromonas	Aeromonas hydrophila
OTU67	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Aeromonadaceae	 Aeromonas	Aeromonas rivipollensis
OTU68	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Aeromonadaceae	 Aeromonas	Aeromonas veronii
OTU69	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Aeromonadaceae	 Aeromonas	Aeromonas veronii_A
OTU70	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Afipia	Afipia broomeae
OTU71	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter faecis
OTU72	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter rectalis
OTU73	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp000434275
OTU74	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp900543445
OTU75	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp900546625
OTU76	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp900547695
OTU77	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp900548765
OTU78	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp900549895
OTU79	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp900550545
OTU80	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	Agathobacter sp900552085
OTU81	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Agathobaculum	Agathobaculum butyriciproducens
OTU82	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Agathobaculum	Agathobaculum desmolans
OTU83	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Agathobaculum	Agathobaculum sp003481705
OTU84	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Agathobaculum	Agathobaculum sp900291975
OTU85	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Agathobaculum	Agathobaculum sp900544475
OTU86	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Agathobaculum	Agathobaculum sp900555465
OTU87	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Butyricicoccaceae	 Agathobaculum	Agathobaculum sp900557315
OTU88	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Pasteurellaceae	 Aggregatibacter	Aggregatibacter segnis
OTU89	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	Akkermansia muciniphila
OTU90	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	Akkermansia muciniphila_A
OTU91	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	Akkermansia muciniphila_B
OTU92	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	Akkermansia muciniphila_C
OTU93	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	Akkermansia sp001580195
OTU94	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	Akkermansia sp004167605
OTU95	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	Akkermansia sp900545155
OTU96	Bacteria	 Campylobacterota	 Campylobacteria	 Campylobacterales	 Arcobacteraceae	 Aliarcobacter	Aliarcobacter butzleri
OTU97	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes communis
OTU98	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes dispar
OTU99	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes finegoldii
OTU100	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes onderdonkii
OTU101	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes provencensis
OTU102	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes putredinis
OTU103	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes senegalensis
OTU104	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes shahii
OTU105	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp000434235
OTU106	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp001941065
OTU107	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp002161445
OTU108	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp002358415
OTU109	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900021155
OTU110	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900290115
OTU111	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900541585
OTU112	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900542505
OTU113	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900544265
OTU114	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900546065
OTU115	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900548155
OTU116	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900549305
OTU117	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900550375
OTU118	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900550925
OTU119	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900552955
OTU120	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900553175
OTU121	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900761235
OTU122	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900768015
OTU123	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900768045
OTU124	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900769445
OTU125	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900769745
OTU126	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp900770635
OTU127	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp902363575
OTU128	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes sp902388705
OTU129	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes timonensis
OTU130	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes_A ihumii
OTU131	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes_A indistinctus
OTU132	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes_A sp900240235
OTU133	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes_A sp900539755
OTU134	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes_A sp900545315
OTU135	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes_A sp900546005
OTU136	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	Alistipes_A sp900549685
OTU137	Bacteria	 Firmicutes_C	 Negativicutes	 Veillonellales	 Dialisteraceae	 Allisonella	Allisonella histaminiformans
OTU138	Bacteria	 Firmicutes_C	 Negativicutes	 Veillonellales	 Dialisteraceae	 Allisonella	Allisonella pneumosintes
OTU139	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Alloprevotella	Alloprevotella tannerae
OTU140	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Bifidobacteriaceae	 Alloscardovia	Alloscardovia omnicolens
OTU141	Bacteria	 Firmicutes_A	 Clostridia	 Peptostreptococcales	 Anaerovoracaceae	 Alterileibacterium	Alterileibacterium massiliense
OTU142	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelotrichaceae	 Amedibacillus	Amedibacillus dolichus
OTU143	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelotrichaceae	 Amedibacterium	Amedibacterium intestinale
OTU144	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Muribaculaceae	 Amulumruptor	Amulumruptor caecigallinarius
OTU145	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Muribaculaceae	 Amulumruptor	Amulumruptor sp001689515
OTU146	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Muribaculaceae	 Amulumruptor	Amulumruptor sp900547825
OTU147	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 An172	An172 sp002160515
OTU148	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 An181	An181 sp002160325
OTU149	Bacteria	 Synergistota	 Synergistia	 Synergistales	 Synergistaceae	 An23	An23 sp900544635
OTU150	Bacteria	 Synergistota	 Synergistia	 Synergistales	 Synergistaceae	 An23	An23 sp900545755
OTU151	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Oscillospiraceae	 An92	An92 sp900199495
OTU152	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Succinivibrionaceae	 Anaerobiospirillum	Anaerobiospirillum succiniciproducens
OTU153	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerobutyricum	Anaerobutyricum hallii
OTU154	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerobutyricum	Anaerobutyricum soehngenii
OTU155	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerobutyricum	Anaerobutyricum sp002161065
OTU156	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerobutyricum	Anaerobutyricum sp900754855
OTU157	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus hydrogenalis
OTU158	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus lactolyticus
OTU159	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus nagyae
OTU160	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus obesiensis
OTU161	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus octavius
OTU162	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus prevotii_A
OTU163	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus rubeinfantis
OTU164	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus senegalensis
OTU165	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus sp900258475
OTU166	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus sp900550345
OTU167	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus sp900551095
OTU168	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Anaerococcus	Anaerococcus vaginalis_B
OTU169	Bacteria	 Firmicutes_A	 Clostridia	 Eubacteriales	 Anaerofustaceae	 Anaerofustis	Anaerofustis sp900549875
OTU170	Bacteria	 Firmicutes_A	 Clostridia	 Eubacteriales	 Anaerofustaceae	 Anaerofustis	Anaerofustis stercorihominis
OTU171	Bacteria	 Firmicutes_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Anaeroglobus	Anaeroglobus geminatus
OTU172	Bacteria	 Firmicutes_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Anaeroglobus	Anaeroglobus massiliensis
OTU173	Bacteria	 Firmicutes_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Anaeroglobus	Anaeroglobus micronuciformis
OTU174	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Anaeromassilibacillus	Anaeromassilibacillus sp001305115
OTU175	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Acutalibacteraceae	 Anaeromassilibacillus	Anaeromassilibacillus sp002159845
OTU176	Bacteria	 Firmicutes	 Bacilli	 Acholeplasmatales	 Anaeroplasmataceae	 Anaeroplasma	Anaeroplasma sp900767915
OTU177	Bacteria	 Firmicutes	 Bacilli	 Acholeplasmatales	 Anaeroplasmataceae	 Anaeroplasma	Anaeroplasma sp900770055
OTU178	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerosacchariphilus	Anaerosacchariphilus sp002160765
OTU179	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerosacchariphilus	Anaerosacchariphilus sp014290175
OTU180	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerosacchariphilus	Anaerosacchariphilus sp900066385
OTU181	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerosacchariphilus	Anaerosacchariphilus sp900553635
OTU182	Bacteria	 Firmicutes_A	 Clostridia	 Tissierellales	 Sporanaerobacteraceae	 Anaerosalibacter	Anaerosalibacter massiliensis
OTU183	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	Anaerostipes caccae
OTU184	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	Anaerostipes hadrus
OTU185	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	Anaerostipes hadrus_A
OTU186	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	Anaerostipes rhamnosivorans
OTU187	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	Anaerostipes sp000508985
OTU188	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	Anaerostipes sp900066705
OTU189	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	Anaerostipes sp900756035
OTU190	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Anaerotignaceae	 Anaerotignum	Anaerotignum faecicola
OTU191	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Anaerotignaceae	 Anaerotignum	Anaerotignum lactatifermentans
OTU192	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Anaerotignaceae	 Anaerotignum	Anaerotignum sp001304995
OTU193	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Anaerotruncus	Anaerotruncus colihominis
OTU194	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Anaerotruncus	Anaerotruncus massiliensis
OTU195	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Anaerotruncus	Anaerotruncus rubiinfantis
OTU196	Bacteria	 Firmicutes_C	 Negativicutes	 Selenomonadales	 Selenomonadaceae	 Anaerovibrio	Anaerovibrio sp900548165
OTU197	Bacteria	 Firmicutes	 Bacilli	 Aneurinibacillales	 Aneurinibacillaceae	 Aneurinibacillus	Aneurinibacillus aneurinilyticus
OTU198	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Angelakisella	Angelakisella sp003453215
OTU199	Bacteria	 Firmicutes_A	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Angelakisella	Angelakisella sp004557855
